nom_standard,code_insee,code_postal,dep_code,dep_nom,population,maire_nom,maire_prenom
Prémillieu,01311,1110.0,01,Ain,44.0,TORRION,Pascal
Prévessin-Moëns,01313,1280.0,01,Ain,9063.0,CHARILLON,Aurélie
Priay,01314,1160.0,01,Ain,1764.0,CHARMETANT,Fabienne
Ramasse,01317,1250.0,01,Ain,331.0,PASSAQUET,Christian
Rancé,01318,1390.0,01,Ain,741.0,BIHLER,Fabien
Relevant,01319,1990.0,01,Ain,467.0,CURNILLON,Christiane
Replonges,01320,1750.0,01,Ain,3899.0,VERNOUX,Bertrand
Revonnas,01321,1250.0,01,Ain,896.0,ROCHE,Patrick
Reyrieux,01322,1600.0,01,Ain,5098.0,BONTEMPS-HESDIN,Carole
Reyssouze,01323,1190.0,01,Ain,1010.0,PELUS,Agnès
Rignieux-le-Franc,01325,1800.0,01,Ain,1098.0,PAIN,Pascal
Romans,01328,1400.0,01,Ain,617.0,GAUTHIER,Jean-Michel
Rossillon,01329,1510.0,01,Ain,160.0,BOUVIER,Georges
Ruffieu,01330,1260.0,01,Ain,177.0,,
Saint-Alban,01331,1450.0,01,Ain,192.0,DE VECCHI,Béatrice
Saint-André-de-Bâgé,01332,1380.0,01,Ain,809.0,PLENARD,Philippe
Saint-André-de-Corcy,01333,1390.0,01,Ain,3368.0,LOREAU,Ludovic
Saint-André-d'Huiriat,01334,1290.0,01,Ain,675.0,DUBOST,Michel
Saint-André-le-Bouchoux,01335,1240.0,01,Ain,418.0,JAYR,Alain
Saint-André-sur-Vieux-Jonc,01336,1960.0,01,Ain,1211.0,QUIVET,Bernard
Saint-Bénigne,01337,1190.0,01,Ain,1343.0,UNIA,Emily
Groslée-Saint-Benoit,01338,1300.0,01,Ain,1238.0,SOUDAN,Henri
Saint-Bernard,01339,1600.0,01,Ain,1497.0,REY,Bernard
Sainte-Croix,01342,1120.0,01,Ain,547.0,LEVRAT,Michel
Saint-Cyr-sur-Menthon,01343,1380.0,01,Ain,1844.0,PARET,Karine
Saint-Denis-lès-Bourg,01344,1000.0,01,Ain,6063.0,FAUVET,Guillaume
Saint-Denis-en-Bugey,01345,1500.0,01,Ain,2240.0,COLLIGNON,Pascal
Saint-Didier-d'Aussiat,01346,1340.0,01,Ain,850.0,PICARD,Catherine
Saint-Didier-de-Formans,01347,1600.0,01,Ain,2141.0,VALLOS,Frédéric
Saint-Didier-sur-Chalaronne,01348,1140.0,01,Ain,3052.0,DUMAY,Renaud
Saint-Éloi,01349,1800.0,01,Ain,524.0,CHAMPAULT,Jehan-Benoît
Saint-Étienne-du-Bois,01350,1370.0,01,Ain,2553.0,CHAPUIS,Alain
Saint-Étienne-sur-Chalaronne,01351,1140.0,01,Ain,1613.0,FAUVAIN,Gaétan
Saint-Étienne-sur-Reyssouze,01352,1190.0,01,Ain,581.0,MARGUIN,Jean-Pierre
Sainte-Euphémie,01353,1600.0,01,Ain,1730.0,ALBAN,Didier
Saint-Genis-Pouilly,01354,1630.0,01,Ain,14558.0,BERTRAND,Hubert
Saint-Genis-sur-Menthon,01355,1380.0,01,Ain,486.0,GREFFET,Christophe
Saint-Georges-sur-Renon,01356,1400.0,01,Ain,199.0,PERI,Sonia
Saint-Germain-de-Joux,01357,1130.0,01,Ain,505.0,THOMASSET,Gilles
Saint-Germain-les-Paroisses,01358,1300.0,01,Ain,425.0,CASTIN,Régis
Saint-Germain-sur-Renon,01359,1240.0,01,Ain,257.0,MONIER,Christophe
Saint-Jean-de-Gonville,01360,1630.0,01,Ain,1988.0,BRULHART,Michel
Saint-Jean-de-Niost,01361,1800.0,01,Ain,1826.0,DALMAZ,Béatrice
Saint-Jean-de-Thurigneux,01362,1390.0,01,Ain,829.0,BERTHOMIEU,Stéphane
Saint-Jean-le-Vieux,01363,1640.0,01,Ain,1786.0,BATAILLY,Christian
Saint-Jean-sur-Reyssouze,01364,1560.0,01,Ain,767.0,SALLET,Jacques
Saint-Jean-sur-Veyle,01365,1290.0,01,Ain,1159.0,RENOUD-LYAT DUPERRAY,Agnès
Sainte-Julie,01366,1150.0,01,Ain,1090.0,CHAPPELLAZ,Lionel
Saint-Julien-sur-Reyssouze,01367,1560.0,01,Ain,707.0,LIGERON,Nathalie
Saint-Julien-sur-Veyle,01368,1540.0,01,Ain,848.0,REVOL,Serge
Saint-Just,01369,1250.0,01,Ain,954.0,LEVET,Patrick
Saint-Laurent-sur-Saône,01370,1750.0,01,Ain,1659.0,DOUSSOT,Jacques
Saint-Marcel,01371,1390.0,01,Ain,1261.0,PETRONE,Dominique
Saint-Martin-de-Bavel,01372,1510.0,01,Ain,436.0,VINCENT,Xavier
Saint-Martin-du-Frêne,01373,1430.0,01,Ain,1033.0,TURC,Dominique
Saint-Martin-du-Mont,01374,1160.0,01,Ain,1899.0,DONGUY,Brigitte
Saint-Martin-le-Châtel,01375,1310.0,01,Ain,781.0,DUBOIS,Sandrine
Saint-Maurice-de-Beynost,01376,1700.0,01,Ain,4155.0,GOUBET,Pierre
Saint-Maurice-de-Gourdans,01378,1800.0,01,Ain,2748.0,VENET,Fabrice
Saint-Maurice-de-Rémens,01379,1500.0,01,Ain,756.0,GAILLARD,Eric
Saint-Nizier-le-Bouchoux,01380,1560.0,01,Ain,598.0,GUYON,Valérie
Saint-Nizier-le-Désert,01381,1320.0,01,Ain,922.0,COURRIER,Jean-Paul
Sainte-Olive,01382,1330.0,01,Ain,331.0,PAUCHARD,Thierry
